ticker,pe,roe,analyst_rating_raw
2153.T,8.782435,0.09323,none
2154.T,11.96144,0.17187999,none
2156.T,17.92396,0.00721,none
2157.T,18.502943,0.16570999,none
2158.T,116.78623,0.14543,none
2162.T,0.0,-0.15869,none
2164.T,120.588234,-1.35309,none
2160.T,16.257206,-0.15619001,strong_buy
2163.T,15.4802885,0.25337,none
2168.T,40.20284,-0.034849998,none
2169.T,27.47269,0.051269997,none
2173.T,8.237501,0.45904,none
2170.T,40.48096,0.12942,none
2175.T,19.341703,0.15786,none
2179.T,9.217034,0.11934,none
2181.T,13.756492,0.19106,buy
2180.T,9.16187,0.31308,none
2183.T,10.978724,-0.26568002,none
2185.T,11.574074,0.11298,none
2186.T,17.242697,0.08484,none
2193.T,14.031413,0.05589,none
2198.T,11.990583,0.20709999,none
2195.T,27.48307,0.10813,none
2201.T,14.164384,0.14996,none
2204.T,24.941866,0.0,none
2206.T,74.62705,0.05448,underperform
2207.T,15.079366,0.05481,none
2209.T,12.135681,0.102060005,none
2208.T,15.822939,0.08568,none
2211.T,31.556232,0.037130002,none
2212.T,16.102842,0.08948,buy
2215.T,13.179465,0.038540002,none
2216.T,15.198403,0.18864,none
2217.T,25.853577,0.03263,none
2220.T,3.509968,0.31041,none
2221.T,16.638765,0.033299997,none
2224.T,0.0,0.03484,none
2222.T,23.584545,0.29391,strong_buy
2226.T,22.522087,0.12746,none
2229.T,22.98842,0.0,hold
2264.T,39.371433,0.04302,none
2266.T,15.527869,0.0,none
2268.T,22.075235,0.12371001,none
2267.T,18.86832,0.07873,hold
2269.T,23.696909,0.06292,hold
2270.T,13.387071,0.096499994,none
2281.T,23.528421,0.03721,none
2282.T,22.295235,0.059910003,hold
2286.T,5.211067,0.114379995,none
2288.T,13.387222,0.06796,none
2291.T,0.0,-0.21576999,none
2292.T,17.421505,0.06606,none
2293.T,0.0,-0.047140002,none
2294.T,41.491127,0.04092,none
2296.T,19.959734,0.057579998,underperform
2300.T,73.52941,0.07152,none
2301.T,12.042933,0.11919,strong_buy
2303.T,20.039837,0.1577,none
2304.T,8.278401,0.20861,none
2305.T,21.276367,0.04449,none
2307.T,9.699468,0.23501,none
2311.T,17.242834,0.09101,none
2317.T,18.177893,0.32909,none
2315.T,63.934425,0.05055,none
2321.T,0.0,-0.17506,none
2323.T,28.642797,0.06981,none
2325.T,21.14151,0.07976,none
2326.T,23.753178,0.19593,none
2327.T,26.177334,0.10735,underperform
2329.T,9.049839,0.16194001,none
2330.T,11.012783,0.15785,none
2331.T,19.607994,0.0,buy
2332.T,10.905306,0.10808,none
2334.T,0.0,0.02009,none
2335.T,13.623302,0.0,none
2337.T,11.467037,0.13936,none
2338.T,0.0,-2.2692301,none
2340.T,21.460176,0.16882,none
2341.T,21.276596,-0.15362,none
2342.T,0.0,-0.14701,none
2345.T,0.0,-0.42451,none
2344.T,13.227983,0.0646,none
2351.T,14.643895,0.08667,none
2349.T,10.881342,0.10467,none
2354.T,12.609535,0.16946,none
2353.T,18.348623,0.26034,none
2359.T,13.495405,0.15379,none
2371.T,21.786179,0.32863998,buy
2370.T,0.0,-0.69344,none
2375.T,15.827863,0.22941,none
2373.T,15.384616,0.129,none
2376.T,26.525728,0.01742,none
2378.T,41.91759,0.04729,none
2379.T,14.409102,0.20087999,none
2385.T,38.00905,0.02863,none
2384.T,14.577013,0.1125,strong_buy
2388.T,0.0,-0.16610001,none
2393.T,18.083183,0.12474,none
2391.T,19.530033,0.07714,none
2404.T,20.879557,1.0842099,none
2395.T,13.459131,0.07981,strong_buy
2408.T,16.51416,0.07757,none
2410.T,11.792475,0.27259,none
2411.T,10.928836,0.11951,none
2415.T,6.6094127,0.14422,none
2413.T,24.33072,0.12472,none
2418.T,6.4977646,0.123409994,none
2424.T,10.605007,0.074200004,none
2425.T,10.785023,0.11739001,none
2429.T,7.336765,0.14243001,none
2428.T,12.253992,0.118590005,none
2432.T,6.662291,0.09747,none
2433.T,24.508457,0.05341,hold
2435.T,5.7344856,0.31768999,none
2436.T,10.309597,0.2274,none
2437.T,0.0,-0.26227,none
2438.T,0.0,-0.04772,none
2440.T,178.82352,0.0,none
