ticker,name,sector,market,current_price,annual_return,volatility,annual_dividend_per_share,pe,roe,analyst_rating
1812.T,鹿島建設,建設業,プライム（内国株式）,5059.0,0.25981378140192396,0.39881723137547576,146.0,17.698917,0.0,強気買い
1820.T,西松建設,建設業,プライム（内国株式）,5448.0,0.07520060687258923,0.2214898428772506,230.0,12.8865185,0.0,買い
1827.T,ナカノフドー建設,建設業,スタンダード（内国株式）,1511.0,0.8818797433776577,0.4637898838694424,38.0,15.759687,0.07197,-
1850.T,南海辰村建設,建設業,スタンダード（内国株式）,412.0,0.02361513499513267,0.4910918075742609,8.0,6.698297,0.11437,-
1853.T,森組,建設業,スタンダード（内国株式）,338.0,0.08801033589700567,0.15740653280669417,14.0,11.962963,0.17448,-
185A.T,リサイクルテック・ジャパン,サービス業,PRO Market,886.0,0.0,0.0,0.0,1.9383491,0.0,-
1860.T,戸田建設,建設業,プライム（内国株式）,1489.5,0.48385710444643315,0.2645347368470919,58.0,14.513612,0.10925,買い
1870.T,矢作建設工業,建設業,プライム（内国株式）,1992.0,-0.030687796493705767,0.2471351226161065,100.0,8.810409,0.1532,-
1871.T,ピーエス・コンストラクション,建設業,プライム（内国株式）,2285.0,0.23461750688616748,0.391499557780418,120.0,15.266328,0.15507,-
1879.T,新日本建設,建設業,プライム（内国株式）,2243.0,0.27465434022205276,0.2619903236083913,67.0,8.481836,0.11416,-
1885.T,東亜建設工業,建設業,プライム（内国株式）,2012.0,0.0014083374060490704,0.5019204974702075,100.0,15.600972,0.16404,-
1893.T,五洋建設,建設業,プライム（内国株式）,1499.5,0.5159438829816445,0.47556690728034906,48.0,25.639755,0.18159,強気買い
1897.T,金下建設,建設業,スタンダード（内国株式）,3575.0,0.29556042818116435,0.2733508019863835,50.0,29.58527,0.01263,-
189A.T,Ｄ＆Ｍカンパニー,サービス業,グロース（内国株式）,965.0,0.09647432534368676,0.45990652778692437,20.0,9.822747,0.10366,-
1904.T,大成温調,建設業,スタンダード（内国株式）,5070.0,0.24673438478198695,0.19604800026739902,179.0,15.220658,0.09157,-
190A.T,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,医薬品,グロース（内国株式）,80.0,-0.5652173913043478,0.7441873801779114,0.0,0.0,-0.519,-
1914.T,日本基礎技術,建設業,スタンダード（内国株式）,720.0,0.07585323062496449,0.2517289331549657,30.0,11.724137,0.0471,-
1921.T,巴コーポレーション,建設業,スタンダード（内国株式）,1922.0,0.23231115711454137,0.33378654501411237,36.0,34.248913,0.025840001,-
1929.T,日特建設,建設業,プライム（内国株式）,1135.0,-0.05073467622147496,0.20180056606870142,49.0,15.874597,0.11303,-
192A.T,インテグループ,サービス業,グロース（内国株式）,1208.0,-0.4587372547277933,0.2670689651725278,20.0,0.0,0.0,-
1930.T,北陸電気工事,建設業,プライム（内国株式）,1493.0,0.056941277487424974,0.3537654876784,48.0,13.174237,0.07989,-
1934.T,ユアテック,建設業,プライム（内国株式）,2465.0,-0.05307490119159068,0.3193726462487433,72.0,15.698729,0.09029,-
1941.T,中電工,建設業,プライム（内国株式）,5010.0,0.3269570812189716,0.2668479528530638,135.0,12.547004,0.07515,-
1942.T,関電工,建設業,プライム（内国株式）,5500.0,0.45105460391645613,0.4251897418443837,124.0,25.316204,0.15217,-
1946.T,トーエネック,建設業,プライム（内国株式）,2063.0,0.48065686121102325,0.4447342089314542,76.0,13.123117,0.114750005,-
194A.T,ＷＯＬＶＥＳ　ＨＡＮＤ,サービス業,グロース（内国株式）,1494.0,0.9606299212598425,0.6827147122181939,0.0,17.272148,0.0,-
1959.T,クラフティア,建設業,プライム（内国株式）,8150.0,0.1743741419294811,0.3266446999073077,220.0,22.421276,0.106359996,買い
1963.T,日揮ホールディングス,建設業,プライム（内国株式）,2285.0,0.6874158488029707,0.4369104002570945,52.0,23.013136,0.082399994,-
1964.T,中外炉工業,建設業,プライム（内国株式）,3955.0,0.04540226550889736,0.3503839258275044,166.0,8.960573,0.15656,-
1967.T,ヤマト,建設業,スタンダード（内国株式）,1999.0,0.009831231764966548,0.3245727514950065,60.0,11.173213,0.120620005,-
1968.T,太平電業,建設業,プライム（内国株式）,2422.0,0.1855797206538302,0.365902596864338,70.0,21.349245,0.09449001,-
196A.T,ＭＦＳ,その他金融業,グロース（内国株式）,290.0,-0.3920335429769392,0.48873824371349583,0.0,34.63035,0.0,-
1976.T,明星工業,建設業,プライム（内国株式）,1840.0,0.19126228938134227,0.28063978209825813,65.0,12.488664,0.120699994,-
1980.T,ダイダン,建設業,プライム（内国株式）,2511.0,0.5329760582041831,0.49957008049172763,83.333332,15.151834,0.22097,-
1982.T,日比谷総合設備,建設業,プライム（内国株式）,2811.0,0.2752329040342565,0.43196480279493726,75.0,22.2469,0.1104,-
198A.T,ＰｏｓｔＰｒｉｍｅ,情報・通信業,グロース（内国株式）,152.0,-0.7295373665480427,1.162595959016274,0.0,0.0,-0.23969999,-
1992.T,神田通信機,建設業,スタンダード（内国株式）,2949.0,0.053864773012709,0.14037532148821322,82.0,16.862934,0.04221,-
199A.T,メディエア,情報・通信業,PRO Market,1350.0,0.00536189373701503,0.00546028531515132,7.2,26.88172,0.0,-
2002.T,日清製粉グループ本社,食料品,プライム（内国株式）,2001.0,0.16617475470386145,0.19534106738237014,60.0,25.487877,0.053590003,-
206A.T,ＰＲＩＳＭ　ＢｉｏＬａｂ,医薬品,グロース（内国株式）,160.0,-0.12087912087912088,0.8793922174658373,0.0,0.0,-0.32137,-
2108.T,日本甜菜製糖,食料品,プライム（内国株式）,5170.0,1.2028597630900488,0.323964922474058,160.0,0.0,-0.022839999,-
2109.T,ＤＭ三井製糖,食料品,プライム（内国株式）,3465.0,0.13071304208162915,0.15457956627405275,130.0,20.324741,0.033570003,-
2112.T,塩水港精糖,食料品,スタンダード（内国株式）,445.0,0.14062319476903565,0.3276323845138616,20.0,5.6242733,0.14479,-
2117.T,ウェルネオシュガー,食料品,プライム（内国株式）,2769.0,0.22095007149590665,0.15908575878302603,119.0,16.69449,0.082159996,-
211A.T,カドス・コーポレーション,建設業,スタンダード（内国株式）,3290.0,-0.2555581617835615,0.3020622310725469,180.0,0.0,0.15554,-
2120.T,ＬＩＦＵＬＬ,サービス業,プライム（内国株式）,208.0,0.08853016476535393,0.40740131264597923,10.41,10.195675,0.10467,-
2122.T,インタースペース,サービス業,スタンダード（内国株式）,1401.0,0.5443338637653569,0.3769969255596988,30.0,38.318607,0.047080003,-
2152.T,幼児活動研究会,サービス業,スタンダード（内国株式）,1480.0,0.0784883464929888,0.28632194924590204,26.0,16.412046,0.10626,-
2154.T,オープンアップグループ,サービス業,プライム（内国株式）,1967.0,0.08268676937780294,0.2074803405750847,85.0,11.96144,0.17187999,-
2156.T,セーラー広告,サービス業,スタンダード（内国株式）,274.0,-0.2126807544256516,0.3689080230179776,6.0,17.92396,0.00721,-
2157.T,コシダカホールディングス,サービス業,プライム（内国株式）,1025.0,-0.25712862093176003,0.2705417859331729,25.0,18.502943,0.16570999,-
2158.T,ＦＲＯＮＴＥＯ,サービス業,グロース（内国株式）,632.0,-0.3517948717948718,0.5428182000102205,0.0,116.78623,0.14543,-
2160.T,ジーエヌアイグループ,医薬品,グロース（内国株式）,2777.0,-0.07587354409317804,0.5629026904748412,0.0,16.257206,-0.15619001,強気買い
2163.T,アルトナー,サービス業,プライム（内国株式）,953.0,0.0867687344290702,0.1477089813818919,64.0,15.4802885,0.25337,-
2164.T,地域新聞社,サービス業,スタンダード（内国株式）,154.0,-0.2892307859161192,0.6818629764765721,0.0,120.588234,-1.35309,-
216A.T,ライフクリエイト,小売業,PRO Market,1250.0,0.0,0.0,0.0,8.038586,0.28246,-
2170.T,リンクアンドモチベーション,サービス業,プライム（内国株式）,640.0,0.2501892734023596,0.2992701930252474,16.4,40.48096,0.12942,-
2175.T,エス・エム・エス,サービス業,プライム（内国株式）,2293.0,0.4701790715379042,0.3903771148934389,29.5,19.341703,0.15786,-
